Date,Region,Android,iOS,Other
2021-01,Worldwide,71.93,27.47,0.5999999999999943
2021-02,Africa,81.11,16.79,2.1000000000000014
2021-02,Asia,82.85,16.32,0.8300000000000054
2021-02,Europe,68.05,31.14,0.8100000000000023
2021-02,North America,44.18,55.5,0.3200000000000003
2021-02,Oceania,47.69,51.52,0.7899999999999991
2021-02,South America,88.6,11.08,0.3200000000000056
2021-02,Worldwide,71.9,27.33,0.769999999999996
2021-03,Africa,79.71,18.35,1.9400000000000048
2021-03,Asia,82.3,16.85,0.8500000000000014
2021-03,Europe,68.82,30.41,0.7700000000000067
2021-03,North America,44.47,55.22,0.3100000000000023
2021-03,Oceania,47.62,51.61,0.7700000000000031
2021-03,South America,88.74,10.93,0.3300000000000054
2021-03,Worldwide,71.83,27.41,0.7600000000000016
2021-04,Africa,79.29,18.62,2.0899999999999928
2021-04,Asia,82.59,16.51,0.899999999999995
2021-04,Europe,68.82,30.39,0.7900000000000063
2021-04,North America,45.05,54.62,0.3300000000000054
2021-04,Oceania,47.26,51.82,0.9200000000000017
2021-04,South America,88.76,10.93,0.30999999999999517
2021-04,Worldwide,72.19,27.0,0.8100000000000023
2021-05,Africa,81.61,16.23,2.16
2021-05,Asia,82.95,16.14,0.9099999999999966
2021-05,Europe,68.43,30.83,0.7399999999999949
2021-05,North America,45.72,53.93,0.3500000000000014
2021-05,Oceania,46.32,52.73,0.9500000000000028
2021-05,South America,88.99,10.7,0.3100000000000058
2021-05,Worldwide,72.72,26.46,0.8200000000000003
2021-06,Africa,83.5,14.47,2.0299999999999994
2021-06,Asia,82.72,16.34,0.9400000000000013
2021-06,Europe,69.15,30.1,0.7499999999999929
2021-06,North America,46.03,53.62,0.3500000000000014
2021-06,Oceania,45.76,53.22,1.0200000000000031
2021-06,South America,88.77,10.9,0.3300000000000036
2021-06,Worldwide,72.83,26.35,0.8200000000000003
2021-07,Africa,81.49,15.95,2.560000000000006
2021-07,Asia,82.56,16.49,0.9499999999999993
2021-07,Europe,68.44,30.82,0.740000000000002
2021-07,North America,46.03,53.6,0.36999999999999744
2021-07,Oceania,44.5,53.67,1.8299999999999983
2021-07,South America,88.4,11.28,0.31999999999999496
2021-07,Worldwide,72.21,26.92,0.8700000000000045
2021-08,Africa,82.04,15.68,2.279999999999994
2021-08,Asia,83.01,16.05,0.9399999999999942
2021-08,Europe,69.29,30.02,0.6899999999999942
2021-08,North America,46.83,52.8,0.37000000000000455
2021-08,Oceania,45.48,52.27,2.25
2021-08,South America,89.04,10.66,0.2999999999999936
2021-08,Worldwide,72.74,26.42,0.8400000000000034
2021-09,Africa,82.92,14.9,2.179999999999998
2021-09,Asia,83.21,15.9,0.8900000000000059
2021-09,Europe,67.13,32.16,0.710000000000008
2021-09,North America,46.67,52.98,0.3500000000000014
2021-09,Oceania,45.47,52.78,1.75
2021-09,South America,88.98,10.72,0.2999999999999954
2021-09,Worldwide,72.44,26.75,0.8100000000000023
2021-10,Africa,83.27,14.57,2.1600000000000037
2021-10,Asia,83.21,16.04,0.7500000000000071
2021-10,Europe,63.02,36.42,0.5599999999999952
2021-10,North America,46.16,53.5,0.3400000000000034
2021-10,Oceania,44.2,54.42,1.3799999999999955
2021-10,South America,88.23,11.46,0.30999999999999517
2021-10,Worldwide,71.09,28.21,0.6999999999999957
2021-11,Africa,83.54,14.53,1.9299999999999944
2021-11,Asia,82.96,16.21,0.8300000000000054
2021-11,Europe,64.02,35.42,0.5600000000000023
2021-11,North America,45.21,54.45,0.3399999999999963
2021-11,Oceania,44.67,54.09,1.2399999999999949
2021-11,South America,88.08,11.65,0.27000000000000135
2021-11,Worldwide,70.74,28.54,0.720000000000006
2021-12,Africa,82.66,15.48,1.860000000000003
2021-12,Asia,82.07,17.1,0.8300000000000054
